,PARCEL_NUM,O_NAME,P_NAME,O_ADDR1,O_CITY,O_STATE,O_ZIP,O_CNTRY,SITE_ADDR,S_CITY,S_ZIP,PROP_TYPE,DEED_NUM,DEED_DATE,DEED_TYPE,LAND_FCV,LAND_ASSDV,IMPR_FCV,IMPR_ASSDV,TOTAL_FCV,TOTAL_FCAV,LPV,PUC,LAND_LCC,LAND_LCSC,IMPR_LCC,IMPR_LCSC,RENTAL_IND,prop_class,prop_class_desc,O_NAME_ONE,O_NAME_TWO,MultiplesFlag,In_list_corpo,Is_corpo,Is_top_corpo,north,south,east,west,lat,lng
4281,10290587,AMH 2014-1 BORROWER LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11234 W MARIPOSA DR,PHOENIX,85037,RESIDENTIAL,140335625,5/23/14,SD,51400,5140,205800,20580,257200,25720,106730,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AMH 2014-1 BORROWER LLC,,Y,1,1,1,33.5065621,33.5063642,-112.301604,-112.3017341,33.5064884,-112.3016676
4283,10290590,ARP 2014-1 BORROWER LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11229 W MARIPOSA DR,PHOENIX,85037,RESIDENTIAL,140570910,8/28/14,SD,56300,5630,225400,22540,281700,28170,121315,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ARP 2014-1 BORROWER LLC,,Y,1,1,1,33.5061406,33.5059743,-112.3014314,-112.3015709,33.5060664,-112.3014813
4284,10290594,AH4R PROPERTIES LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11319 W MARIPOSA DR,PHOENIX,85037,RESIDENTIAL,150406328,6/8/15,0,56300,5630,225400,22540,281700,28170,122555,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AH4R PROPERTIES LLC,,Y,1,1,1,33.506087,33.5059572,-112.3020315,-112.3021474,33.5060352,-112.3020867
4285,10290596,TAH MS BORROWER LLC,TRICON AMERICAN HOMES,PO BOX 15086,SANTA ANA,CA,92735,USA,4846 N 113TH DR,PHOENIX,85037,RESIDENTIAL,170793316,10/26/17,SD,61100,6110,244400,24440,305500,30550,138224,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TAH MS BORROWER LLC,,Y,1,1,1,33.5062408,33.5061127,-112.3023218,-112.3025023,33.5061815,-112.3024127
4288,10290608,DUNLEY LLC,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,11232 W COLLEGE DR,PHOENIX,85037,RESIDENTIAL,140126021,2/27/14,SD,54600,5460,218500,21850,273100,27310,123018,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,DUNLEY LLC,,Y,1,1,1,33.5072758,33.5071384,-112.30162,-112.3017484,33.5072114,-112.3016909
4291,10290618,PROGRESS RESIDENTIAL BORROWER 6 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,11138 W COLLEGE DR,PHOENIX,85037,RESIDENTIAL,190149025,3/4/19,SD,54600,5460,218500,21850,273100,27310,124261,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 6 LLC,,Y,1,1,1,33.5073463,33.5072076,-112.3000255,-112.3001543,33.5072861,-112.3000842
4294,10290639,RSTK PHOENIX OWNER 1 L P,STREETLANE HOMES,717 N HARWOOD ST STE 2800,DALLAS,TX,75201,USA,4707 N 111TH DR,PHOENIX,85037,RESIDENTIAL,220105361,2/3/22,WD,58500,5850,234200,23420,292700,29270,141947,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RSTK PHOENIX OWNER 1 LP,,Y,1,1,1,33.5039977,33.5037971,-112.2974027,-112.2976812,33.5039039,-112.2975229
4297,10290679,PROGRESS RESIDENTIAL HVH BORROWER LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,4534 N 111TH DR,PHOENIX,85037,RESIDENTIAL,211180273,11/3/21,SD,72500,7250,290300,29030,362800,36280,197950,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL HVH BORROWER LLC,,Y,1,1,1,33.5016759,33.5015401,-112.2971613,-112.2973627,33.5016287,-112.2972435
4302,10290692,BEAZER PRE-OWNED HOMES LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11125 W MINNEZONA AVE,PHOENIX,85037,RESIDENTIAL,110938727,11/14/11,WD,66400,6640,265900,26590,332300,33230,170800,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,BEAZER PRE-OWNED HOMES LLC,,Y,1,1,1,33.5013136,33.5011508,-112.2975432,-112.2977034,33.5012259,-112.297616
4303,10290695,AH4R PROPERTIES LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11113 W MINNEZONA AVE,PHOENIX,85037,RESIDENTIAL,150406328,6/8/15,0,58800,5880,235300,23530,294100,29410,139154,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AH4R PROPERTIES LLC,,Y,1,1,1,33.5013309,33.5012097,-112.2969572,-112.2971022,33.5012734,-112.2970339
