,index,PARCEL_NUM,O_NAME,O_ADDR1,O_CITY,O_STATE,O_ZIP,O_CNTRY,SITE_ADDR,S_CITY,S_ZIP,PROP_TYPE,DEED_NUM,DEED_DATE,DEED_TYPE,LAND_FCV,LAND_ASSDV,IMPR_FCV,IMPR_ASSDV,TOTAL_FCV,TOTAL_FCAV,LPV,PUC,LAND_LCC,LAND_LCSC,IMPR_LCC,IMPR_LCSC,RENTAL_IND,prop_class,prop_class_desc,O_NAME_ONE,O_NAME_TWO,MultiplesFlag,In_list_corpo,P_ORG,Is_top_corpo
24,49,10217237,2017-2 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,10625 W TURNEY AVE,PHOENIX,85037,RESIDENTIAL,170842995,14-NOV-2017,SD,40200,4020,160900,16090,201100,20110,54949,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,INVITATION HOMES,1
25,53,10217263,ENTRUST GROUP INC,555 12TH ST STE 1250,OAKLAND,CA,94607,USA,10602 W SELLS DR,PHOENIX,85037,RESIDENTIAL,200909119,25-SEP-2020,SD,38000,3800,152300,15230,190300,19030,52390,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ENTRUST GROUP INC,,Y,1,THE ENTRUST GROUP ,0
26,56,10217289,THR PHOENIX LP,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,4307 N 106TH AVE,PHOENIX,85037,RESIDENTIAL,200159062,25-FEB-2020,SD,47200,4720,188800,18880,236000,23600,64334,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LP,,Y,1,INVITATION HOMES,1
27,59,10217298,CROWNE PROPERTY ACQUISITIONS LLC,2325 POINTE PKWY SUITE 250,CARMEL,IN,46032,USA,4343 N 106TH AVE,PHOENIX,85037,RESIDENTIAL,220007131,04-JAN-2022,WD,45300,4530,181200,18120,226500,22650,61775,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,CROWNE PROPERTY ACQUISITIONS LLC,,Y,1,RENU PROPERTY MANAGEMENT,1
28,62,10217309A,RSTK PHOENIX OWNER 1 L P,717 N HARWOOD ST STE 2800,DALLAS,TX,75201,USA,4427 N 106TH AVE,PHOENIX,85037,RESIDENTIAL,220468626,01-JUN-2022,SD,50200,5020,201000,20100,251200,25120,79692,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RSTK PHOENIX OWNER 1 LP,,Y,1,STREETLANE HOMES,1
29,63,10217312,PROGRESS RESIDENTIAL BORROWER 5 LLC,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,4439 N 106TH AVE,PHOENIX,85037,RESIDENTIAL,180756876,09-OCT-2018,SD,54600,5460,218400,21840,273000,27300,99316,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 5 LLC,,Y,1,PROGRESS RESIDENTIAL,1
30,64,10217313,E LAZY S APACHE JUNCTION LP,4691 CHILENO VALLEY RD,PETALUMA,CA,94952,USA,4443 N 106TH AVE,PHOENIX,85037,RESIDENTIAL,210013919,06-JAN-2021,QD,47500,4750,190200,19020,237700,23770,77813,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,E LAZY S APACHE JUNCTION LP,,Y,1,E LAZY S APACHE JUNCTION LP,0
31,66,10217316,LIVINGSTON ACQUISITIONS I LLC,4543 W MARSHALL AVE,GLENDALE,AZ,85301,USA,4455 N 106TH AVE,PHOENIX,85037,RESIDENTIAL,110452323,27-MAY-2011,SD,43700,4370,175000,17500,218700,21870,67066,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,LIVINGSTON ACQUISITIONS I LLC,,Y,1,,0
32,69,10217323,RSTK PHOENIX OWNER 1 L P,717 N HARWOOD ST STE 2800,DALLAS,TX,75201,USA,4454 N 105TH AVE,PHOENIX,85037,RESIDENTIAL,220435354,19-MAY-2022,WD,48800,4880,195400,19540,244200,24420,77645,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RSTK PHOENIX OWNER 1 LP,,Y,1,STREETLANE HOMES,1
33,73,10217347,2017-2 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,10424 W MONTECITO AVE,PHOENIX,85037,RESIDENTIAL,170842995,14-NOV-2017,SD,54900,5490,219600,21960,274500,27450,89248,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,INVITATION HOMES,1
34,74,10217374,LINCK HOLDINGS LLC,6423 E MARIA DR,CAVE CREEK,AZ,85331,USA,10418 W CALLE DE PLATA,PHOENIX,85037,RESIDENTIAL,100440764,25-MAY-2010,SD,48100,4810,192500,19250,240600,24060,73036,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,LINCK HOLDINGS LLC,,Y,1,LINCK HOLDINGS LLC,0
35,75,10217375,VM PRONTO LLC,5001 PLAZA ON THE LK STE 200,AUSTIN,TX,78746,USA,10414 W CALLE DE PLATA,PHOENIX,85037,RESIDENTIAL,220069562,24-JAN-2022,WD,49500,4950,198000,19800,247500,24750,77813,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,VM PRONTO LLC,,Y,1,THE AMHERST GROUP LLC,1
36,77,10217377,TAH 2017-2 BORROWER LLC,1508 BROOKHOLLOW DR,SANTA ANA,CA,92705,USA,10402 W CALLE DE PLATA,PHOENIX,85037,RESIDENTIAL,170944836,21-DEC-2017,SD,45700,4570,182800,18280,228500,22850,66894,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TAH 2017-2 BORROWER LLC,,Y,1,TRICON RESIDENTIAL,1
37,78,10217378,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,10340 W CALLE DE PLATA,PHOENIX,85037,RESIDENTIAL,170314434,01-MAY-2017,SD,46800,4680,187400,18740,234200,23420,69282,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
38,81,10217389,THR PHOENIX LP,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,10413 W CALLE DEL ORO,PHOENIX,85037,RESIDENTIAL,200159062,25-FEB-2020,SD,49200,4920,196900,19690,246100,24610,70988,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LP,,Y,1,INVITATION HOMES,1
39,82,10217390,THR PHOENIX LLC,1121 W WARNER RD STE 110,TEMPE,AZ,85284,USA,10407 W CALLE DEL ORO,PHOENIX,85037,RESIDENTIAL,120554054,25-JUN-2012,WD,47500,4750,190300,19030,237800,23780,72012,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LLC,,Y,1,INVITATION HOMES,1
40,83,10217401,RS XII PHOENIX OWNER 1 LP,717 N HARWOOD ST SUITE 2800,DALLAS,TX,75201,USA,10424 W CALLE DEL ORO,PHOENIX,85037,RESIDENTIAL,210707960,28-JUN-2021,WD,48300,4830,193200,19320,241500,24150,72184,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RS XII PHOENIX OWNER 1 LP,,Y,1,STREETLANE HOMES,1
